title,link,salary,company,area,update_time,exp_title,education,com_type
Hire Now. 12k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4321,12K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 26, 2019",Experience: Entry Level,Bachelor,Others
6 Native English-speaking teachers Wanted in Shenz,http://www.jobleadchina.com/job/4319,20K/MTH - 30K/MTH,快易优,Shenzhen,"Post time: July 26, 2019",Experience: Mid-Senior Level,Bachelor,Consultancy/Legal/Admin
Hire Now. 12k-25k English or French PE Teacher in ,http://www.jobleadchina.com/job/4318,12K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 25, 2019",Experience: Entry Level,Bachelor,Others
English teacher(full time job)25K,http://www.jobleadchina.com/job/4316,25K/MTH - 27K/MTH,SBK,Shanghai,"Post time: July 25, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
English Teachers with Native English Accent Wanted,http://www.jobleadchina.com/job/4315,20K/MTH - 25K/MTH,快易优,Beijing,"Post time: July 25, 2019",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Hire Now. 8k-25k English or French PE Teacher in C,http://www.jobleadchina.com/job/4313,8K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 24, 2019",Experience: Entry Level,Bachelor,Others
Hire Now. 8k-25k English or French Pe Teacher in C,http://www.jobleadchina.com/job/4312,8K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 24, 2019",Experience: Entry Level,Bachelor,Others
"One French Pe Teacher, Two Oral English Teacher in",http://www.jobleadchina.com/job/4309,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 23, 2019",Experience: Entry Level,Bachelor,Others
Training center English teachers,http://www.jobleadchina.com/job/4308,16K/MTH - 18K/MTH,SBK,Shanghai,"Post time: July 23, 2019",Experience: Entry Level,Bachelor,Teaching Center
10K-25K  Recruiting  English or French Teacher in ,http://www.jobleadchina.com/job/4307,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 23, 2019",Experience: Entry Level,Bachelor,Others
Foreign English Teacher,http://www.jobleadchina.com/job/4296,18K/MTH - 22K/MTH,SK英语江湾校区,Guangzhou,"Post time: July 23, 2019",Experience: Entry Level,Any education,Teaching Center
Teacher,http://www.jobleadchina.com/job/4306,8K/MTH - 20K/MTH,jack yu,Beijing,"Post time: July 22, 2019",Experience: Entry Level,Any education,School
Foreign Teacher,http://www.jobleadchina.com/job/4305,12K/MTH - 25K/MTH,jack yu,Beijing,"Post time: July 22, 2019",Experience: Associate,Bachelor,School
Kis English Teacher,http://www.jobleadchina.com/job/4304,14K/MTH - 18K/MTH,Imagine English Group,Wuhan,"Post time: July 22, 2019",Experience: Entry Level,Bachelor,School
ESL Teacher,http://www.jobleadchina.com/job/4303,14K/MTH - 17K/MTH,Imagine English Group,Wuhan,"Post time: July 22, 2019",Experience: Entry Level,Bachelor,School
ESL Teacher,http://www.jobleadchina.com/job/4302,14K/MTH - 17K/MTH,Imagine English Group,Wuhan,"Post time: July 22, 2019",Experience: Entry Level,Bachelor,School
10K-25K  Recruiting Native English Teacher in Chin,http://www.jobleadchina.com/job/4300,10K/MTH - 25K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: July 22, 2019",Experience: Associate,Bachelor,Others
Training center need two English teachers,http://www.jobleadchina.com/job/4298,16K/MTH - 19K/MTH,SBK,Shanghai,"Post time: July 22, 2019",Experience: Entry Level,Bachelor,Teaching Center
Part-time German teacher ,http://www.jobleadchina.com/job/4297,12K/MTH - 13K/MTH,SBK,Shanghai,"Post time: July 22, 2019",Experience: Entry Level,Any education,Teaching Center
Full time English teacher job,http://www.jobleadchina.com/job/4293,18K/MTH - 21K/MTH,SBK,Shanghai,"Post time: July 19, 2019",Experience: Entry Level,Bachelor,Teaching Center
English Teacher Wanted,http://www.jobleadchina.com/job/3214,8K/MTH - 18K/MTH,ESL JOB IN CHINA,Beijing,"Post time: July 18, 2019",Experience: Entry Level,Any education,Teaching Center
English Teacher Wanted,http://www.jobleadchina.com/job/4168,8K/MTH - 18K/MTH,ESL JOB IN CHINA,Beijing,"Post time: July 18, 2019",Experience: Entry Level,Any education,Teaching Center
Full time job English teacher,http://www.jobleadchina.com/job/4290,16K/MTH - 19K/MTH,SBK,Shanghai,"Post time: July 18, 2019",Experience: Entry Level,Bachelor,Teaching Center
Early training center English teacher,http://www.jobleadchina.com/job/4289,15K/MTH - 17K/MTH,SBK,Others,"Post time: July 18, 2019",Experience: Entry Level,Bachelor,Teaching Center
English teacher(full time job)18K,http://www.jobleadchina.com/job/4275,16K/MTH - 18K/MTH,SBK,Shanghai,"Post time: July 15, 2019",Experience: Entry Level,Any education,Teaching Center
Coding Teacher,http://www.jobleadchina.com/job/4274,8K/MTH - 15K/MTH,Leaplearner,Shanghai,"Post time: July 14, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
"Teach English in China, up to 20,000 RMB per month",http://www.jobleadchina.com/job/4273,12K/MTH - 22K/MTH,chinajobstreet,Dalian,"Post time: July 12, 2019",Experience: Mid-Senior Level,Bachelor,Consultancy/Legal/Admin
FT ESL teacher for native/non-native,http://www.jobleadchina.com/job/4268,16K/MTH - 25K/MTH,TutuageHR,Shanghai,"Post time: July 10, 2019",Experience: Associate,Bachelor,Teaching Center
Online english teacher,http://www.jobleadchina.com/job/4264,25K/MTH - 40K/MTH,Risfond Executive Search,Beijing,"Post time: July 08, 2019",Experience: Internship,Any education,Consultancy/Legal/Admin
"English teacher ，part-time job (lingang avenue,sha",http://www.jobleadchina.com/job/4263,16K/MTH - 21K/MTH,SBK,Shanghai,"Post time: July 05, 2019",Experience: Entry Level,Any education,Teaching Center
English teacher(part-time),http://www.jobleadchina.com/job/4262,15K/MTH - 17K/MTH,SBK,Shanghai,"Post time: July 05, 2019",Experience: Entry Level,Any education,Teaching Center
ESL Teacher ,http://www.jobleadchina.com/job/4259,20000K/MTH - 26000K/MTH,MosoboEnglish,Ningbo,"Post time: July 04, 2019",Experience: Associate,Bachelor,Teaching Center
K12 English Teacher,http://www.jobleadchina.com/job/4258,16K/MTH - 22K/MTH,Leader Consulting,Shenzhen,"Post time: July 04, 2019",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
IELTS Speaking Teacher（Part-time）-Based in Shenzhe,http://www.jobleadchina.com/job/4165,7K/MTH - 10K/MTH,LXBIRD,Shenzhen,"Post time: July 04, 2019",Experience: Mid-Senior Level,Any education,Teaching Center
Franchised English Teacher Needed （Legal Work Perm,http://www.jobleadchina.com/job/4254,12000K/MTH - 25000K/MTH,Sara,Beijing,"Post time: July 03, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Urgently Need Native English Teachers (Only),http://www.jobleadchina.com/job/4253,15000K/MTH - 20000K/MTH,Sara,Beijing,"Post time: July 03, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
English teachers in kindergartens,http://www.jobleadchina.com/job/4248,5K/MTH - 6K/MTH,正顺教育,Hangzhou,"Post time: July 02, 2019",Experience: Entry Level,Any education,Teaching Center
"ESL Teacher needed in Shenzhen (Native speaker, Pu",http://www.jobleadchina.com/job/4247,9K/MTH - 15K/MTH,CIPTC,Shenzhen,"Post time: July 02, 2019",Experience: Entry Level,Bachelor,School
English teacher(full time job)25K,http://www.jobleadchina.com/job/4246,21K/MTH - 25K/MTH,SBK,Shanghai,"Post time: July 02, 2019",Experience: Entry Level,Any education,Teaching Center
"part-time job in jiuting,sh",http://www.jobleadchina.com/job/4245,15K/MTH - 18K/MTH,SBK,Shanghai,"Post time: June 28, 2019",Experience: Entry Level,Any education,Teaching Center
English teacher(part-time),http://www.jobleadchina.com/job/4244,12K/MTH - 15K/MTH,SBK,Shanghai,"Post time: June 27, 2019",Experience: Entry Level,Any education,Teaching Center
English teacher,http://www.jobleadchina.com/job/4243,25K/MTH - 26K/MTH,SBK,Shanghai,"Post time: June 27, 2019",Experience: Entry Level,Any education,Teaching Center
English teacher wanted,http://www.jobleadchina.com/job/4242,18K/MTH - 24K/MTH,EnglishHouese,Others,"Post time: June 27, 2019",Experience: Mid-Senior Level,Bachelor,Information Technology Services
English Teacher,http://www.jobleadchina.com/job/4241,15000K/MTH - 30000K/MTH,Hello kid,Others,"Post time: June 26, 2019",Experience: Mid-Senior Level,Associate,Teaching Center
Short-term Summer teaching in Shanghai,http://www.jobleadchina.com/job/4235,3000K/MTH - 6000K/MTH,TutuageHR,Shanghai,"Post time: June 25, 2019",Experience: Associate,Bachelor,Teaching Center
10k-25k Teach in Warm and Coastal Cities of China,http://www.jobleadchina.com/job/4233,10000K/MTH - 25000K/MTH,Sara,Wuhan,"Post time: June 24, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
"ABIE ESL Center (GuangAn, China)",http://www.jobleadchina.com/job/4228,12K/MTH - 15K/MTH,广安爱贝,Others,"Post time: June 22, 2019",Experience: Associate,Bachelor,Teaching Center
16k to 25k International Kindergarten Esl Teacher,http://www.jobleadchina.com/job/4227,16000K/MTH - 25000K/MTH,Sara,Guangzhou,"Post time: June 21, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Drama+Science+Computer Science Job in Beijing/20-2,http://www.jobleadchina.com/job/4226,20000K/MTH - 25000K/MTH,Sara,Beijing,"Post time: June 21, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
10k-18k French \ Sports\Drama Teacher for Native F,http://www.jobleadchina.com/job/4225,10000K/MTH - 18000K/MTH,Sara,Beijing,"Post time: June 20, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Primary\Middle \High School Need Esl Teachers Asap,http://www.jobleadchina.com/job/4224,8000K/MTH - 25000K/MTH,Sara,Guangzhou,"Post time: June 19, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Part time English teacher,http://www.jobleadchina.com/job/4223,20K/MTH - 30K/MTH,HYZD,Beijing,"Post time: June 19, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
Highly Qualified Foreign English Teachers Needed i,http://www.jobleadchina.com/job/4222,20K/MTH - 30K/MTH,快易优,Beijing,"Post time: June 19, 2019",Experience: Mid-Senior Level,Bachelor,Consultancy/Legal/Admin
"Russian Female English Teacher Needed in Jinan ,Ca",http://www.jobleadchina.com/job/4219,8000K/MTH - 12000K/MTH,Sara,Guangzhou,"Post time: June 18, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
10k-22k kindergarten\primary high Native teacher i,http://www.jobleadchina.com/job/4218,10000K/MTH - 25000K/MTH,Sara,Guangzhou,"Post time: June 18, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
ESL teachers,http://www.jobleadchina.com/job/4216,13K/MTH - 14K/MTH,H.E.,Others,"Post time: June 18, 2019",Experience: Entry Level,Bachelor,Teaching Center
Urgently Need Native English Teacher in Guangzhou,http://www.jobleadchina.com/job/4214,10000K/MTH - 20000K/MTH,Sara,Guangzhou,"Post time: June 18, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
20k Native English Teacher Needed Fexible Time +Pr,http://www.jobleadchina.com/job/4209,10000K/MTH - 20000K/MTH,Sara,Guangzhou,"Post time: June 17, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Hiring Now! Amazing Education Job Chance in China!,http://www.jobleadchina.com/job/4208,10000K/MTH - 20000K/MTH,Sara,Qingdao,"Post time: June 17, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
"Young, energetic native English-speaking teachers ",http://www.jobleadchina.com/job/4207,10000K/MTH - 20000K/MTH,Sara,Qingdao,"Post time: June 17, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
外教Foreign teacher,http://www.jobleadchina.com/job/4203,18K/MTH - 28K/MTH,Manpower,Guangzhou,"Post time: June 17, 2019",Experience: Mid-Senior Level,Any education,Outsourcing
Kindergarten School in Beijing +Free Housing +Free,http://www.jobleadchina.com/job/4199,8000K/MTH - 12000K/MTH,Sara,Beijing,"Post time: June 13, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Video recording English Teacher,http://www.jobleadchina.com/job/4195,30K/MTH - 40K/MTH,HYZD,Beijing,"Post time: June 11, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
All-subject and ESL primary teacher; Math/Science ,http://www.jobleadchina.com/job/4176,15K/MTH - 26K/MTH,LeadingStudy,Chongqing,"Post time: June 11, 2019",Experience: Associate,Any education,School
Principle / Foreign Principle,http://www.jobleadchina.com/job/4185,25K/MTH - 35K/MTH,Etonkids,Beijing,"Post time: June 06, 2019",Experience: Mid-Senior Level,Master,School
Primary school English video recording ,http://www.jobleadchina.com/job/4184,30K/MTH - 60K/MTH,HYZD,Beijing,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
Teaching position across the whole country ,http://www.jobleadchina.com/job/4183,16K/MTH - 30K/MTH,HYZD,Beijing,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
TV Presenter,http://www.jobleadchina.com/job/4182,60K/MTH - 100K/MTH,HYZD,Beijing,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
College Essay Writing Expert ,http://www.jobleadchina.com/job/4181,25K/MTH - 35K/MTH,HYZD,Beijing,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
Job title:  Regional Training Manager     ,http://www.jobleadchina.com/job/4180,20K/MTH - 30K/MTH,HYZD,Chengdu,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
"Teach English in Public Schools, 22K with Z visa, ",http://www.jobleadchina.com/job/4179,20K/MTH - 22K/MTH,HYZD,Beijing,"Post time: June 06, 2019",Experience: Executive,Bachelor,Consultancy/Legal/Admin
"English Language Tutor (EAP),j.zhou@tees.ac.uk,186",http://www.jobleadchina.com/job/4172,50000K/MTH - 60000K/MTH,Teesside,Beijing,"Post time: June 04, 2019",Experience: Mid-Senior Level,Any education,School
Math and Science Teacher in Beijing,http://www.jobleadchina.com/job/4170,20K/MTH - 30K/MTH,TALENT WAY,Beijing,"Post time: June 04, 2019",Experience: Executive,Bachelor,Others
High salary and easy teaching jobs in China,http://www.jobleadchina.com/job/4163,12K/MTH - 30K/MTH,"Beijing Dekuaixin Education Consulting Co.,Ltd ",Others,"Post time: May 31, 2019",Experience: Mid-Senior Level,Bachelor,Others
Beijing International Kindergarten / Preschool Eng,http://www.jobleadchina.com/job/4160,20K/MTH - 25K/MTH,LCAIS,Beijing,"Post time: May 30, 2019",Experience: Entry Level,Bachelor,School
English Subjects Teacher Welcomed,http://www.jobleadchina.com/job/4159,8000K/MTH - 20000K/MTH,Sara,Others,"Post time: May 29, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
French Native Teacher +Public School +Work Visa +B,http://www.jobleadchina.com/job/4158,8000K/MTH - 15000K/MTH,Sara,Beijing,"Post time: May 29, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Kindergarten/Primary English Teacher  Wanted in Be,http://www.jobleadchina.com/job/4157,8000K/MTH - 20000K/MTH,Sara,Beijing,"Post time: May 29, 2019",Experience: Mid-Senior Level,Bachelor,Teaching Center
Beijing International Kindergarten / Preschool Eng,http://www.jobleadchina.com/job/4156,20K/MTH - 25K/MTH,LCAIS,Beijing,"Post time: May 29, 2019",Experience: Entry Level,Bachelor,School
Beijing International Kindergarten / Preschool Eng,http://www.jobleadchina.com/job/4154,20K/MTH - 25K/MTH,LCAIS,Beijing,"Post time: May 28, 2019",Experience: Entry Level,Bachelor,School
Beijing International Kindergarten / Preschool Eng,http://www.jobleadchina.com/job/4150,20K/MTH - 25K/MTH,LCAIS,Beijing,"Post time: May 27, 2019",Experience: Entry Level,Bachelor,School
FT teacher needed,http://www.jobleadchina.com/job/4107,18K/MTH - 25K/MTH,Linko,Beijing,"Post time: May 25, 2019",Experience: Associate,Any education,Teaching Center
Training Director(Corporate Training),http://www.jobleadchina.com/job/4137,25K/MTH - 35K/MTH,Linko,Beijing,"Post time: May 25, 2019",Experience: Director,Any education,Teaching Center
Beijing International Kindergarten / Preschool Eng,http://www.jobleadchina.com/job/4149,20K/MTH - 25K/MTH,LCAIS,Beijing,"Post time: May 24, 2019",Experience: Entry Level,Bachelor,School
